,aposta,numero_sorteado,resultado
0,Cachorro,86,perda
1,Cachorro,60,perda
2,Cachorro,76,perda
3,Cachorro,72,perda
4,Cachorro,97,perda
5,Cachorro,0,perda
6,Cachorro,79,perda
7,Cachorro,61,perda
8,Cachorro,5,perda
9,Cachorro,74,perda
10,Cachorro,62,perda
11,Cachorro,50,perda
12,Cachorro,6,perda
13,Cachorro,92,perda
14,Cachorro,64,perda
15,Cachorro,68,perda
16,Cachorro,77,perda
17,Cachorro,54,perda
18,Cachorro,39,perda
19,Cachorro,16,ganho
20,Cachorro,61,perda
21,Cachorro,76,perda
22,Cachorro,13,perda
23,Cachorro,80,perda
24,Cachorro,13,perda
25,Cachorro,2,perda
26,Cachorro,54,perda
27,Cachorro,19,ganho
28,Cachorro,76,perda
29,Cachorro,80,perda
30,Cachorro,22,perda
31,Cachorro,54,perda
32,Cachorro,36,perda
33,Cachorro,99,perda
34,Cachorro,13,perda
35,Cachorro,50,perda
36,Cachorro,73,perda
37,Cachorro,54,perda
38,Cachorro,8,perda
39,Cachorro,42,perda
40,Cachorro,75,perda
41,Cachorro,2,perda
42,Cachorro,13,perda
43,Cachorro,5,perda
44,Cachorro,6,perda
45,Cachorro,90,perda
46,Cachorro,57,perda
47,Cachorro,7,perda
48,Cachorro,0,perda
49,Cachorro,76,perda
50,Cachorro,22,perda
51,Cachorro,98,perda
52,Cachorro,87,perda
53,Cachorro,42,perda
54,Cachorro,83,perda
55,Cachorro,55,perda
56,Cachorro,72,perda
57,Cachorro,12,perda
58,Cachorro,45,perda
59,Cachorro,19,ganho
60,Cachorro,84,perda
61,Cachorro,52,perda
62,Cachorro,45,perda
63,Cachorro,50,perda
64,Cachorro,17,ganho
65,Cachorro,60,perda
66,Cachorro,7,perda
67,Cachorro,6,perda
68,Cachorro,48,perda
69,Cachorro,74,perda
70,Cachorro,13,perda
71,Cachorro,60,perda
72,Cachorro,77,perda
73,Cachorro,63,perda
74,Cachorro,44,perda
75,Cachorro,91,perda
76,Cachorro,24,perda
77,Cachorro,69,perda
78,Cachorro,61,perda
79,Cachorro,67,perda
80,Cachorro,7,perda
81,Cachorro,70,perda
82,Cachorro,12,perda
83,Cachorro,49,perda
84,Cachorro,21,perda
85,Cachorro,26,perda
86,Cachorro,74,perda
87,Cachorro,88,perda
88,Cachorro,58,perda
89,Cachorro,29,perda
90,Cachorro,4,perda
91,Cachorro,64,perda
92,Cachorro,42,perda
93,Cachorro,25,perda
94,Cachorro,40,perda
95,Cachorro,68,perda
96,Cachorro,88,perda
97,Cachorro,23,perda
98,Cachorro,57,perda
99,Cachorro,66,perda
100,Cachorro,72,perda
101,Cachorro,95,perda
102,Cachorro,77,perda
103,Cachorro,14,perda
104,Cachorro,93,perda
105,Cachorro,49,perda
106,Cachorro,9,perda
107,Cachorro,18,ganho
108,Cachorro,94,perda
109,Cachorro,4,perda
110,Cachorro,36,perda
111,Cachorro,53,perda
112,Cachorro,39,perda
113,Cachorro,74,perda
114,Cachorro,15,perda
115,Cachorro,13,perda
116,Cachorro,29,perda
117,Cachorro,21,perda
118,Cachorro,7,perda
119,Cachorro,96,perda
120,Cachorro,85,perda
121,Cachorro,39,perda
122,Cachorro,9,perda
123,Cachorro,96,perda
124,Cachorro,95,perda
125,Cachorro,1,perda
126,Cachorro,86,perda
127,Cachorro,89,perda
128,Cachorro,41,perda
129,Cachorro,57,perda
130,Cachorro,27,perda
131,Cachorro,43,perda
132,Cachorro,32,perda
133,Cachorro,92,perda
134,Cachorro,64,perda
135,Cachorro,85,perda
136,Cachorro,72,perda
137,Cachorro,8,perda
138,Cachorro,52,perda
139,Cachorro,49,perda
140,Cachorro,37,perda
141,Cachorro,79,perda
142,Cachorro,52,perda
143,Cachorro,55,perda
144,Cachorro,78,perda
145,Cachorro,50,perda
146,Cachorro,98,perda
147,Cachorro,22,perda
148,Cachorro,40,perda
149,Cachorro,96,perda
150,Cachorro,44,perda
151,Cachorro,62,perda
152,Cachorro,47,perda
153,Cachorro,69,perda
154,Cachorro,93,perda
155,Cachorro,20,perda
156,Cachorro,66,perda
157,Cachorro,83,perda
158,Cachorro,10,perda
159,Cachorro,94,perda
160,Cachorro,88,perda
161,Cachorro,77,perda
162,Cachorro,7,perda
163,Cachorro,1,perda
164,Cachorro,23,perda
165,Cachorro,72,perda
166,Cachorro,10,perda
167,Cachorro,25,perda
168,Cachorro,70,perda
169,Cachorro,47,perda
170,Cachorro,54,perda
171,Cachorro,27,perda
172,Cachorro,41,perda
173,Cachorro,76,perda
174,Cachorro,16,ganho
175,Cachorro,7,perda
176,Cachorro,4,perda
177,Cachorro,93,perda
178,Cachorro,18,ganho
179,Cachorro,88,perda
180,Cachorro,46,perda
181,Cachorro,4,perda
182,Cachorro,67,perda
183,Cachorro,55,perda
184,Cachorro,41,perda
185,Cachorro,16,ganho
186,Cachorro,55,perda
187,Cachorro,13,perda
188,Cachorro,22,perda
189,Cachorro,11,perda
190,Cachorro,63,perda
191,Cachorro,16,ganho
192,Cachorro,72,perda
193,Cachorro,27,perda
194,Cachorro,52,perda
195,Cachorro,6,perda
196,Cachorro,14,perda
197,Cachorro,29,perda
198,Cachorro,69,perda
199,Cachorro,51,perda
200,Cachorro,41,perda
201,Cachorro,50,perda
202,Cachorro,74,perda
203,Cachorro,29,perda
204,Cachorro,88,perda
205,Cachorro,23,perda
206,Cachorro,32,perda
207,Cachorro,58,perda
208,Cachorro,92,perda
209,Cachorro,27,perda
210,Cachorro,92,perda
211,Cachorro,68,perda
212,Cachorro,39,perda
213,Cachorro,77,perda
214,Cachorro,12,perda
215,Cachorro,85,perda
216,Cachorro,35,perda
217,Cachorro,34,perda
218,Cachorro,57,perda
219,Cachorro,59,perda
220,Cachorro,63,perda
221,Cachorro,53,perda
222,Cachorro,62,perda
223,Cachorro,92,perda
224,Cachorro,28,perda
225,Cachorro,13,perda
226,Cachorro,29,perda
227,Cachorro,9,perda
228,Cachorro,96,perda
229,Cachorro,96,perda
230,Cachorro,1,perda
231,Cachorro,58,perda
232,Cachorro,80,perda
233,Cachorro,14,perda
234,Cachorro,70,perda
235,Cachorro,32,perda
236,Cachorro,75,perda
237,Cachorro,55,perda
238,Cachorro,44,perda
239,Cachorro,82,perda
240,Cachorro,78,perda
241,Cachorro,28,perda
242,Cachorro,3,perda
243,Cachorro,45,perda
244,Cachorro,96,perda
245,Cachorro,92,perda
246,Cachorro,64,perda
247,Cachorro,71,perda
248,Cachorro,19,ganho
249,Cachorro,70,perda
250,Cachorro,27,perda
251,Cachorro,59,perda
252,Cachorro,27,perda
253,Cachorro,65,perda
254,Cachorro,57,perda
255,Cachorro,53,perda
256,Cachorro,49,perda
257,Cachorro,1,perda
258,Cachorro,39,perda
259,Cachorro,70,perda
260,Cachorro,9,perda
261,Cachorro,48,perda
262,Cachorro,70,perda
263,Cachorro,75,perda
264,Cachorro,6,perda
265,Cachorro,72,perda
266,Cachorro,63,perda
267,Cachorro,50,perda
268,Cachorro,77,perda
269,Cachorro,43,perda
270,Cachorro,23,perda
271,Cachorro,39,perda
272,Cachorro,83,perda
273,Cachorro,87,perda
274,Cachorro,44,perda
275,Cachorro,98,perda
276,Cachorro,94,perda
277,Cachorro,45,perda
278,Cachorro,88,perda
279,Cachorro,89,perda
280,Cachorro,39,perda
281,Cachorro,51,perda
282,Cachorro,4,perda
283,Cachorro,89,perda
284,Cachorro,7,perda
285,Cachorro,24,perda
286,Cachorro,64,perda
287,Cachorro,77,perda
288,Cachorro,75,perda
289,Cachorro,29,perda
290,Cachorro,58,perda
291,Cachorro,66,perda
292,Cachorro,86,perda
293,Cachorro,60,perda
294,Cachorro,66,perda
295,Cachorro,87,perda
296,Cachorro,77,perda
297,Cachorro,31,perda
298,Cachorro,90,perda
299,Cachorro,97,perda
300,Cachorro,16,ganho
301,Cachorro,68,perda
302,Cachorro,6,perda
303,Cachorro,44,perda
304,Cachorro,40,perda
305,Cachorro,62,perda
306,Cachorro,26,perda
307,Cachorro,0,perda
308,Cachorro,48,perda
309,Cachorro,58,perda
310,Cachorro,81,perda
311,Cachorro,3,perda
312,Cachorro,63,perda
313,Cachorro,31,perda
314,Cachorro,44,perda
315,Cachorro,15,perda
316,Cachorro,15,perda
317,Cachorro,56,perda
318,Cachorro,46,perda
319,Cachorro,94,perda
320,Cachorro,95,perda
321,Cachorro,63,perda
322,Cachorro,46,perda
323,Cachorro,9,perda
324,Cachorro,49,perda
325,Cachorro,0,perda
326,Cachorro,7,perda
327,Cachorro,19,ganho
328,Cachorro,36,perda
329,Cachorro,70,perda
330,Cachorro,27,perda
331,Cachorro,1,perda
332,Cachorro,68,perda
333,Cachorro,40,perda
334,Cachorro,97,perda
335,Cachorro,1,perda
336,Cachorro,11,perda
337,Cachorro,43,perda
338,Cachorro,14,perda
